id,name,brand,category,price,description,stock,rating
SP0001,Mobile Z,TechCo,smartphone,588.48,Smartphone with 5G connectivity.,43,4.0
LP0002,Ultra Thin,TechCo,laptop,372.5,17 inch laptop featuring latest processor.,160,3.7
TV0003,Ultra TV,CinemaCo,smart_tv,545.86,40 inch smart TV with 4K resolution.,174,3.5
SP0004,SmartPhone Y,RivalTech,smartphone,413.39,Smartphone with long-lasting battery.,63,4.5
TV0005,SmartView TV,UltraVision,smart_tv,2773.94,50 inch smart TV with HDR support.,94,0.0
SP0006,Maxi Phone,TechCo,smartphone,710.62,Smartphone with long-lasting battery.,177,4.0
LP0007,Econo Note,UltraComp,laptop,635.3,14 inch laptop featuring latest processor.,112,4.0
LP0008,Ultra Thin,UltraComp,laptop,1394.93,14 inch laptop featuring high performance graphics.,126,3.9
TV0009,Ultra TV,Spectra,smart_tv,2530.98,40 inch smart TV with sleek design.,159,4.5
TV0010,Vivid TV,UltraVision,smart_tv,526.24,50 inch smart TV with sleek design.,31,0.0
TV0011,Vivid TV,UltraVision,smart_tv,2513.21,50 inch smart TV with smart connectivity.,96,3.5
SPK0012,SoundWave,SoundCo,speaker,318.19,Speaker delivering compact design.,75,4.2
LP0013,Pro Book,EconCo,laptop,1411.14,13.3 inch laptop featuring lightweight design.,75,4.0
SPK0014,Bass Boost,BassLine,speaker,360.73,Speaker delivering wireless connectivity.,71,0.0
SPK0015,SoundWave,BeatBox,speaker,251.33,Speaker delivering crystal clear sound.,4,4.2
TV0016,Vivid TV,ViewTech,smart_tv,2917.72,65 inch smart TV with smart connectivity.,55,4.0
SPK0017,Bass Boost,BassLine,speaker,370.11,Speaker delivering compact design.,66,4.5
LP0018,Performance Pro,UltraComp,laptop,610.84,15.6 inch laptop featuring high performance graphics.,156,4.2
SPK0019,BoomBox,AudioMax,speaker,480.53,Speaker delivering compact design.,121,3.8
LP0020,Ultra Thin,EconCo,laptop,919.37,13.3 inch laptop featuring lightweight design.,5,3.7
SPK0021,BoomBox,SoundCo,speaker,236.29,Speaker delivering deep bass.,185,0.0
SPK0022,ClearSound,BeatBox,speaker,74.3,Speaker delivering compact design.,116,3.5
LP0023,Econo Note,UltraComp,laptop,1483.36,17 inch laptop featuring latest processor.,182,3.7
SP0024,Mobile Z,TechCo,smartphone,803.19,Smartphone with advanced camera system.,178,4.0
TV0025,SmartView TV,ViewTech,smart_tv,2992.62,50 inch smart TV with HDR support.,192,4.0
LP0026,Pro Book,EconCo,laptop,1149.8,17 inch laptop featuring long battery life.,108,4.8
SPK0027,BoomBox,BassLine,speaker,50.36,Speaker delivering deep bass.,94,4.1
TV0028,Infinity TV,UltraVision,smart_tv,528.29,75 inch smart TV with smart connectivity.,36,3.0
LP0029,Business Mate,EconCo,laptop,1342.56,17 inch laptop featuring high performance graphics.,6,4.8
TV0030,Vivid TV,ViewTech,smart_tv,484.61,50 inch smart TV with 4K resolution.,29,0.0
LP0031,Pro Book,NextGen,laptop,627.16,13.3 inch laptop featuring high performance graphics.,150,5.0
SP0032,SmartPhone Y,Futura,smartphone,1137.71,Smartphone with vivid display.,16,0.0
SPK0033,Bass Boost,BeatBox,speaker,393.27,Speaker delivering compact design.,96,4.5
SPK0034,SoundWave,AudioMax,speaker,472.24,Speaker delivering compact design.,24,4.5
TV0035,SmartView TV,UltraVision,smart_tv,2761.51,55 inch smart TV with smart connectivity.,63,0.0
SP0036,SmartPhone X,NextCom,smartphone,936.91,Smartphone with 5G connectivity.,68,4.0
SP0037,Maxi Phone,Futura,smartphone,665.62,Smartphone with long-lasting battery.,133,3.8
TV0038,Ultra TV,Spectra,smart_tv,664.31,50 inch smart TV with 4K resolution.,166,4.2
SP0039,Maxi Phone,TechCo,smartphone,371.01,Smartphone with long-lasting battery.,124,0.0
TV0040,SmartView TV,CinemaCo,smart_tv,613.07,55 inch smart TV with sleek design.,139,3.5
LP0041,Business Mate,NextGen,laptop,1940.69,14 inch laptop featuring high performance graphics.,118,5.0
SPK0042,Bass Boost,SoundCo,speaker,327.65,Speaker delivering crystal clear sound.,195,4.0
SPK0043,Bass Boost,BassLine,speaker,469.59,Speaker delivering wireless connectivity.,13,0.0
SP0044,SmartPhone Y,TechCo,smartphone,241.33,Smartphone with advanced camera system.,21,3.0
SP0045,SmartPhone Y,RivalTech,smartphone,833.02,Smartphone with 5G connectivity.,168,4.1
TV0046,Vivid TV,UltraVision,smart_tv,1316.7,50 inch smart TV with smart connectivity.,11,4.5
LP0047,Econo Note,EconCo,laptop,941.04,14 inch laptop featuring latest processor.,194,4.0
SP0048,Maxi Phone,TechCo,smartphone,1133.25,Smartphone with vivid display.,116,4.0
SPK0049,ClearSound,AudioMax,speaker,453.83,Speaker delivering deep bass.,162,3.8
LP0050,Econo Note,UltraComp,laptop,879.72,15.6 inch laptop featuring lightweight design.,119,4.2
LP0051,Ultra Thin,NextGen,laptop,1892.26,15.6 inch laptop featuring latest processor.,49,4.0
TV0052,Ultra TV,ViewTech,smart_tv,1763.06,75 inch smart TV with 4K resolution.,74,3.8
LP0053,Econo Note,EconCo,laptop,1833.87,13.3 inch laptop featuring latest processor.,25,4.2
SP0054,SmartPhone Y,NextCom,smartphone,1059.38,Smartphone with vivid display.,59,5.0
LP0055,Business Mate,EconCo,laptop,1422.94,17 inch laptop featuring high performance graphics.,82,3.9
SPK0056,BoomBox,AudioMax,speaker,162.76,Speaker delivering compact design.,149,4.4
LP0057,Pro Book,NextGen,laptop,1351.16,15.6 inch laptop featuring latest processor.,176,4.8
TV0058,Infinity TV,CinemaCo,smart_tv,1769.88,65 inch smart TV with sleek design.,158,3.8
SPK0059,Audio Pro,SoundCo,speaker,82.75,Speaker delivering compact design.,61,4.2
SP0060,SmartPhone X,Futura,smartphone,1025.81,Smartphone with 5G connectivity.,111,4.3
